,Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),challenge level numeric
0,8/17/2010,1,1,cake,cake,180.0,victoria sandwich,,chocolate celebration cake,,1.0
1,8/24/2010,1,2,biscuit,personality biscuits,120.0,scones,60.0,"meringue, choux, and macaron petits fours",240.0,1.0
2,8/31/2010,1,3,bread,signature bread,210.0,cob,150.0,12 sweet and 12 savoury rolls,360.0,
3,9/7/2010,1,4,pudding,classic pudding,150.0,mini hot lemon soufflés,40.0,"crumble, bread, & suet puddings",300.0,
4,9/14/2010,1,5,pastry,savoury pie,150.0,cornish pasties,90.0,savory canapés and sweet tartlets,300.0,
5,9/21/2010,1,6,final,24 professional tea cakes,150.0,,,96 petit fours,300.0,
6,8/16/2011,2,1,cake,24 cupcakes,120.0,coffee and walnut battenberg,120.0,chocolate tiered cake,300.0,
7,8/23/2011,2,2,tarts,quiche,120.0,tarte au citron,90.0,24 miniature sweet tarts,,
8,8/30/2011,2,3,bread,free form loaf,195.0,focaccia,210.0,12 sweet and 12 savoury rolls,300.0,
9,9/6/2011,2,4,biscuit,12 biscuits,90.0,24 brandy snaps,90.0,3 flavor macaron display,300.0,
10,9/13/2011,2,5,pies,family pie,150.0,6 miniature pork pies,150.0,meringue pie,210.0,2.0
11,9/20/2011,2,6,desserts,baked cheesecake,150.0,chocolate roulade,105.0,croquembouche,300.0,
12,9/27/2011,2,7,pâtisserie,layered mousse cake,120.0,12 iced fingers,,3 types of pastries,,2.0
13,10/4/2011,2,8,final,12 mille-feuille,150.0,sachertorte,160.0,3 types of petits fours,240.0,
14,8/14/2012,3,1,cake,upside down cake,120.0,4 rum babas,180.0,hidden design cake,300.0,
15,8/21/2012,3,2,bread,12 flatbreads,150.0,eight-strand plaited loaf,120.0,12 sweet and 12 savoury bagels,240.0,
16,8/28/2012,3,3,tarts,tarte tatin,150.0,treacle tart,120.0,designer fruit tart,180.0,
17,9/4/2012,3,4,desserts,wheat-free torte cake,180.0,crème caramel,165.0,4 layered meringue dessert,,
18,9/11/2012,3,5,pies,wellington,180.0,hand-raised pie,135.0,family-sized american pie,210.0,
19,9/18/2012,3,6,pudding,2 sponge puddings,120.0,queen of puddings,,strudel,210.0,2.0
20,9/25/2012,3,7,sweet dough,24 sweet buns,180.0,10 jam doughnuts,150.0,celebratory loaf,,
21,10/2/2012,3,8,biscuit,48 crackers,120.0,6 chocolate teacakes,120.0,gingerbread structure,240.0,2.0
22,10/9/2012,3,9,pâtisserie,3 types of petits fours,,frasier cake,150.0,choux pastry gâteau,,
23,10/16/2012,3,10,final,pithivier,150.0,25 fondant fancies,150.0,chiffon cake,240.0,2.0
24,8/20/2013,4,1,cake,sandwich cake,120.0,angel food cake,150.0,chocolate cake,240.0,
25,8/27/2013,4,2,bread,36 breadsticks,120.0,8 english muffins,165.0,decorative loaf,240.0,
26,9/3/2013,4,3,desserts,trifle,180.0,floating islands,90.0,24 petits fours,180.0,
27,9/10/2013,4,4,pies and tarts,double crust fruit pie,120.0,12 egg custard tarts,120.0,filo pie,240.0,
28,9/17/2013,4,5,biscuits and traybakes,favorite traybake,120.0,18 tuiles,90.0,biscuit tower,240.0,
