Technical,baseline_share,post_air_share,lift_diff
 jumbles,0.0,0.027777777777777776,0.027777777777777776
 miniature pineapple upside-down cakes,0.0,0.004132231404958678,0.004132231404958678
 raspberry éclairs &  salted caramel éclairs,0.0,0.0032467532467532465,0.0032467532467532465
 vegan sausage rolls,0.0,0.0,0.0
 viennese whirls,0.0,0.02142857142857143,0.02142857142857143
 æbleskiver,0.0,0.0,0.0
caterpiller cake,0.0,0.0,0.0
dampfnudel,0.0,0.015873015873015872,0.015873015873015872
lemon meringue pie,0.0,0.0,0.0
malt loaf,0.0,0.007575757575757575,0.007575757575757575
orange and ginger treacle puddings,0.0,0.008771929824561403,0.008771929824561403
red velvet cake,0.0,0.0,0.0
tart aux pommes,0.0,0.010526315789473684,0.010526315789473684
tiramisu cake,0.0,0.0,0.0
