,Technical,Airdate,Baseline_Avg,Post_Air_Avg,Lift_Pct
0,victoria sandwich,2010-08-17,25.97,53.75,107.0
1,scones,2010-08-24,10.73,46.25,330.9
2,focaccia,2011-08-30,0.0,12.5,inf
3, miniature pork pies,2011-09-13,0.0,12.5,inf
5,treacle tart,2012-08-28,0.0,23.88,inf
6,queen of puddings,2012-09-18,0.0,12.5,inf
7, fondant fancies,2012-10-16,0.0,28.38,inf
8, florentines,2014-08-13,0.0,25.88,inf
10, ginger biscuits,2017-10-31,2.53,12.5,393.4
11, wagon wheels,2018-08-28,0.0,22.12,inf
12,raspberry blancmange with  langues du chat biscuits,2018-09-18,0.0,17.5,inf
13,vegan tropical fruit pavlova,2018-10-09,6.83,36.88,439.6
15, campfire pita breads,2018-10-30,0.0,12.5,inf
16, angel cake slices,2019-08-27,0.0,12.5,inf
17, raspberry éclairs &  salted caramel éclairs,2020-10-20,0.0,27.0,inf
18,danish kransekake cornucopia cake,2020-11-17,0.0,12.5,inf
20,malt loaf,2021-09-21,0.0,29.12,inf
21,red velvet cake,2022-09-13,3.97,51.0,1185.7
22, custard creams,2023-10-03,0.0,12.5,inf
23, devonshire splits,2023-10-10,0.0,12.5,inf
24,dauphinoise pithivier,2023-10-24,0.0,24.62,inf
