,date,count
0,11/28/2023,131
1,11/22/2020,73
2,11/24/2020,34
3,11/21/2020,28
4,11/27/2020,26
5,12/25/2020,24
6,03/11/2020,23
7,09/22/2020,22
8,11/20/2021,22
9,10/18/2020,21
10,11/23/2020,21
11,10/19/2020,19
12,10/12/2020,18
13,08/28/2019,17
14,10/04/2020,17
15,10/05/2021,17
16,10/09/2021,17
17,10/25/2020,16
18,11/14/2020,16
19,09/14/2016,15
20,09/22/2016,15
21,10/26/2016,15
22,10/16/2019,15
23,10/26/2019,15
24,10/06/2020,15
25,10/11/2020,15
26,10/13/2020,15
27,10/24/2020,15
28,10/27/2020,15
29,11/19/2021,15
30,10/22/2022,15
31,09/26/2020,14
32,10/10/2020,14
33,10/26/2020,14
34,11/15/2020,14
35,11/29/2020,14
36,11/16/2021,14
37,10/22/2019,13
38,10/30/2019,13
39,10/03/2020,13
40,10/17/2020,13
41,10/20/2020,13
42,11/03/2020,13
43,11/07/2020,13
44,11/18/2020,13
45,11/25/2020,13
46,11/26/2020,13
47,11/30/2020,13
48,12/02/2020,13
49,10/10/2021,13
50,10/19/2021,13
51,10/23/2021,13
52,11/14/2021,13
53,10/08/2022,13
54,08/31/2016,12
55,10/31/2018,12
56,09/24/2019,12
57,10/01/2019,12
58,10/08/2019,12
59,09/27/2020,12
60,10/30/2020,12
61,10/31/2020,12
62,11/08/2020,12
63,12/24/2020,12
64,10/17/2021,12
65,10/18/2021,12
66,10/29/2021,12
67,10/30/2021,12
68,11/06/2021,12
69,11/09/2021,12
70,11/17/2021,12
71,12/02/2021,12
72,12/02/2023,12
73,11/26/2024,12
74,09/17/2019,11
75,09/23/2020,11
76,09/28/2020,11
77,09/29/2020,11
78,11/06/2020,11
79,11/28/2020,11
80,12/06/2020,11
81,10/16/2021,11
82,10/31/2021,11
83,11/03/2021,11
84,11/21/2021,11
85,12/03/2021,11
86,12/07/2021,11
87,09/23/2022,11
88,10/21/2022,11
89,02/28/2016,10
90,08/25/2016,10
91,09/08/2019,10
92,09/18/2019,10
93,10/28/2019,10
94,10/31/2019,10
95,10/02/2020,10
96,10/16/2020,10
97,10/22/2020,10
98,11/12/2020,10
99,11/17/2020,10
100,12/03/2020,10
101,01/18/2021,10
102,09/24/2021,10
103,09/25/2021,10
104,10/03/2021,10
105,10/08/2021,10
106,11/01/2021,10
107,11/02/2021,10
108,11/08/2021,10
109,11/12/2021,10
110,11/28/2021,10
111,09/24/2022,10
112,10/09/2022,10
113,11/20/2022,10
114,10/13/2024,10
115,11/02/2024,10
116,09/23/2025,10
117,09/23/2016,9
118,09/24/2016,9
119,09/18/2018,9
120,10/30/2018,9
121,10/05/2019,9
122,10/14/2019,9
123,10/15/2019,9
124,10/27/2019,9
125,11/02/2019,9
126,07/11/2020,9
127,09/24/2020,9
128,10/28/2020,9
129,11/04/2020,9
130,11/09/2020,9
131,11/10/2020,9
132,11/20/2020,9
133,12/01/2020,9
134,12/31/2020,9
135,01/13/2021,9
136,01/17/2021,9
137,02/14/2021,9
138,09/22/2021,9
139,10/15/2021,9
140,10/20/2021,9
141,10/24/2021,9
142,10/25/2021,9
143,10/28/2021,9
144,11/22/2021,9
145,12/06/2021,9
146,09/16/2022,9
147,09/17/2022,9
148,10/06/2022,9
149,10/11/2022,9
150,10/18/2022,9
151,11/18/2022,9
152,11/19/2022,9
153,10/26/2024,9
154,11/15/2024,9
155,02/27/2016,8
156,09/15/2016,8
157,10/13/2016,8
158,10/17/2017,8
159,10/31/2017,8
160,11/12/2018,8
161,08/27/2019,8
162,09/03/2019,8
163,09/25/2019,8
164,10/17/2019,8
165,10/20/2019,8
166,10/23/2019,8
167,10/29/2019,8
168,04/13/2020,8
169,09/30/2020,8
170,10/07/2020,8
171,11/02/2020,8
172,12/12/2020,8
173,12/21/2020,8
174,12/22/2020,8
175,12/26/2020,8
176,12/27/2020,8
177,02/01/2021,8
178,06/20/2021,8
179,09/26/2021,8
180,09/28/2021,8
181,10/13/2021,8
182,10/14/2021,8
183,10/26/2021,8
