technical,date,day_offset,value,phase,lift_pc
victoria sandwich,2010-08-10,-7,25.97,baseline,107%
victoria sandwich,2010-08-11,-6,25.97,baseline,107%
victoria sandwich,2010-08-12,-5,25.97,baseline,107%
victoria sandwich,2010-08-13,-4,25.97,baseline,107%
victoria sandwich,2010-08-14,-3,25.97,baseline,107%
victoria sandwich,2010-08-15,-2,25.97,baseline,107%
victoria sandwich,2010-08-16,-1,25.97,baseline,107%
victoria sandwich,2010-08-17,0,80.62,spike,107%
victoria sandwich,2010-08-18,1,53.75,post_event_plateau,107%
victoria sandwich,2010-08-19,2,53.75,post_event_plateau,107%
victoria sandwich,2010-08-20,3,53.75,post_event_plateau,107%
victoria sandwich,2010-08-21,4,53.75,post_event_plateau,107%
victoria sandwich,2010-08-22,5,53.75,post_event_plateau,107%
victoria sandwich,2010-08-23,6,53.75,post_event_plateau,107%
victoria sandwich,2010-08-24,7,53.75,post_event_plateau,107%
scones,2010-08-17,-7,10.73,baseline,331%
scones,2010-08-18,-6,10.73,baseline,331%
scones,2010-08-19,-5,10.73,baseline,331%
scones,2010-08-20,-4,10.73,baseline,331%
scones,2010-08-21,-3,10.73,baseline,331%
scones,2010-08-22,-2,10.73,baseline,331%
scones,2010-08-23,-1,10.73,baseline,331%
scones,2010-08-24,0,69.38,spike,331%
scones,2010-08-25,1,46.25,post_event_plateau,331%
scones,2010-08-26,2,46.25,post_event_plateau,331%
scones,2010-08-27,3,46.25,post_event_plateau,331%
scones,2010-08-28,4,46.25,post_event_plateau,331%
scones,2010-08-29,5,46.25,post_event_plateau,331%
scones,2010-08-30,6,46.25,post_event_plateau,331%
scones,2010-08-31,7,46.25,post_event_plateau,331%
focaccia,2011-08-23,-7,0.0,baseline,New Interest
focaccia,2011-08-24,-6,0.0,baseline,New Interest
focaccia,2011-08-25,-5,0.0,baseline,New Interest
focaccia,2011-08-26,-4,0.0,baseline,New Interest
focaccia,2011-08-27,-3,0.0,baseline,New Interest
focaccia,2011-08-28,-2,0.0,baseline,New Interest
focaccia,2011-08-29,-1,0.0,baseline,New Interest
focaccia,2011-08-30,0,18.75,spike,New Interest
focaccia,2011-08-31,1,12.5,post_event_plateau,New Interest
focaccia,2011-09-01,2,12.5,post_event_plateau,New Interest
focaccia,2011-09-02,3,12.5,post_event_plateau,New Interest
focaccia,2011-09-03,4,12.5,post_event_plateau,New Interest
focaccia,2011-09-04,5,12.5,post_event_plateau,New Interest
focaccia,2011-09-05,6,12.5,post_event_plateau,New Interest
focaccia,2011-09-06,7,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-06,-7,0.0,baseline,New Interest
 miniature pork pies,2011-09-07,-6,0.0,baseline,New Interest
 miniature pork pies,2011-09-08,-5,0.0,baseline,New Interest
 miniature pork pies,2011-09-09,-4,0.0,baseline,New Interest
 miniature pork pies,2011-09-10,-3,0.0,baseline,New Interest
 miniature pork pies,2011-09-11,-2,0.0,baseline,New Interest
 miniature pork pies,2011-09-12,-1,0.0,baseline,New Interest
 miniature pork pies,2011-09-13,0,18.75,spike,New Interest
 miniature pork pies,2011-09-14,1,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-15,2,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-16,3,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-17,4,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-18,5,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-19,6,12.5,post_event_plateau,New Interest
 miniature pork pies,2011-09-20,7,12.5,post_event_plateau,New Interest
treacle tart,2012-08-21,-7,0.0,baseline,New Interest
treacle tart,2012-08-22,-6,0.0,baseline,New Interest
treacle tart,2012-08-23,-5,0.0,baseline,New Interest
treacle tart,2012-08-24,-4,0.0,baseline,New Interest
treacle tart,2012-08-25,-3,0.0,baseline,New Interest
treacle tart,2012-08-26,-2,0.0,baseline,New Interest
treacle tart,2012-08-27,-1,0.0,baseline,New Interest
treacle tart,2012-08-28,0,35.82,spike,New Interest
treacle tart,2012-08-29,1,23.88,post_event_plateau,New Interest
treacle tart,2012-08-30,2,23.88,post_event_plateau,New Interest
treacle tart,2012-08-31,3,23.88,post_event_plateau,New Interest
treacle tart,2012-09-01,4,23.88,post_event_plateau,New Interest
treacle tart,2012-09-02,5,23.88,post_event_plateau,New Interest
treacle tart,2012-09-03,6,23.88,post_event_plateau,New Interest
treacle tart,2012-09-04,7,23.88,post_event_plateau,New Interest
queen of puddings,2012-09-11,-7,0.0,baseline,New Interest
queen of puddings,2012-09-12,-6,0.0,baseline,New Interest
queen of puddings,2012-09-13,-5,0.0,baseline,New Interest
queen of puddings,2012-09-14,-4,0.0,baseline,New Interest
queen of puddings,2012-09-15,-3,0.0,baseline,New Interest
queen of puddings,2012-09-16,-2,0.0,baseline,New Interest
queen of puddings,2012-09-17,-1,0.0,baseline,New Interest
queen of puddings,2012-09-18,0,18.75,spike,New Interest
queen of puddings,2012-09-19,1,12.5,post_event_plateau,New Interest
queen of puddings,2012-09-20,2,12.5,post_event_plateau,New Interest
queen of puddings,2012-09-21,3,12.5,post_event_plateau,New Interest
queen of puddings,2012-09-22,4,12.5,post_event_plateau,New Interest
queen of puddings,2012-09-23,5,12.5,post_event_plateau,New Interest
queen of puddings,2012-09-24,6,12.5,post_event_plateau,New Interest
queen of puddings,2012-09-25,7,12.5,post_event_plateau,New Interest
 fondant fancies,2012-10-09,-7,0.0,baseline,New Interest
 fondant fancies,2012-10-10,-6,0.0,baseline,New Interest
 fondant fancies,2012-10-11,-5,0.0,baseline,New Interest
 fondant fancies,2012-10-12,-4,0.0,baseline,New Interest
 fondant fancies,2012-10-13,-3,0.0,baseline,New Interest
 fondant fancies,2012-10-14,-2,0.0,baseline,New Interest
 fondant fancies,2012-10-15,-1,0.0,baseline,New Interest
 fondant fancies,2012-10-16,0,42.57,spike,New Interest
 fondant fancies,2012-10-17,1,28.38,post_event_plateau,New Interest
 fondant fancies,2012-10-18,2,28.38,post_event_plateau,New Interest
 fondant fancies,2012-10-19,3,28.38,post_event_plateau,New Interest
 fondant fancies,2012-10-20,4,28.38,post_event_plateau,New Interest
 fondant fancies,2012-10-21,5,28.38,post_event_plateau,New Interest
 fondant fancies,2012-10-22,6,28.38,post_event_plateau,New Interest
 fondant fancies,2012-10-23,7,28.38,post_event_plateau,New Interest
 florentines,2014-08-06,-7,0.0,baseline,New Interest
 florentines,2014-08-07,-6,0.0,baseline,New Interest
 florentines,2014-08-08,-5,0.0,baseline,New Interest
 florentines,2014-08-09,-4,0.0,baseline,New Interest
 florentines,2014-08-10,-3,0.0,baseline,New Interest
 florentines,2014-08-11,-2,0.0,baseline,New Interest
 florentines,2014-08-12,-1,0.0,baseline,New Interest
 florentines,2014-08-13,0,38.82,spike,New Interest
 florentines,2014-08-14,1,25.88,post_event_plateau,New Interest
 florentines,2014-08-15,2,25.88,post_event_plateau,New Interest
 florentines,2014-08-16,3,25.88,post_event_plateau,New Interest
