,date,count
0,04/12/2020,627
1,05/10/2020,510
2,12/25/2020,485
3,12/24/2024,474
4,12/24/2020,462
5,12/24/2022,453
6,02/14/2021,439
7,11/26/2020,437
8,12/11/2022,433
9,03/29/2020,409
10,04/13/2020,396
11,11/28/2024,393
12,12/25/2024,389
13,04/27/2020,382
14,12/25/2023,379
15,03/28/2020,375
16,04/19/2020,373
17,04/11/2020,371
18,12/24/2021,371
19,11/25/2021,369
20,04/04/2021,361
21,12/24/2025,357
22,12/26/2020,356
23,04/26/2020,355
24,12/25/2021,352
25,12/25/2022,352
26,12/23/2022,351
27,02/15/2021,349
28,02/13/2021,345
29,12/23/2024,345
30,12/24/2023,344
31,12/20/2020,343
32,05/17/2020,340
33,11/24/2022,338
34,02/07/2021,337
35,04/05/2020,336
36,04/25/2020,336
37,06/21/2020,336
38,04/18/2020,335
39,10/31/2020,334
40,01/24/2021,332
41,11/23/2023,332
42,05/16/2020,328
43,05/18/2020,327
44,11/29/2024,325
45,12/22/2024,325
46,04/09/2023,323
47,05/09/2020,321
48,11/28/2019,320
49,12/26/2022,320
50,11/27/2024,320
51,12/25/2025,320
52,12/21/2020,319
53,12/23/2020,317
54,05/23/2020,316
55,12/26/2024,316
56,11/27/2025,316
57,04/10/2020,315
58,11/27/2020,314
59,04/22/2020,313
60,05/02/2020,313
61,04/17/2022,312
62,01/17/2021,311
63,03/14/2021,311
64,07/04/2020,309
65,05/03/2020,301
66,04/04/2020,300
67,01/31/2021,300
68,12/23/2021,300
69,04/20/2025,299
70,03/27/2020,298
71,11/25/2020,298
72,07/26/2020,297
73,04/07/2020,296
74,05/24/2020,296
75,12/23/2025,293
76,12/18/2022,292
77,03/30/2020,291
78,06/20/2020,291
79,01/10/2021,290
80,04/09/2020,288
81,04/30/2020,287
82,02/21/2021,287
83,07/12/2020,285
84,04/06/2020,284
85,05/11/2020,284
86,12/19/2020,284
87,10/04/2020,283
88,12/31/2020,282
89,11/26/2025,282
90,05/25/2020,281
91,12/22/2020,281
92,12/13/2020,279
93,12/24/2019,278
94,04/03/2020,278
95,04/08/2020,278
96,04/20/2020,278
97,04/24/2020,278
98,05/08/2020,278
99,12/21/2022,277
100,12/17/2024,277
101,12/21/2025,277
102,05/04/2020,276
103,08/09/2020,276
104,03/22/2020,275
105,12/06/2020,275
106,12/26/2021,275
107,12/22/2025,275
108,07/05/2020,274
109,12/16/2024,274
110,03/26/2020,273
111,04/15/2020,273
112,04/17/2020,272
113,05/22/2020,272
114,01/01/2021,272
115,12/23/2023,272
116,12/14/2020,271
117,12/22/2022,271
118,12/19/2024,271
119,04/21/2020,270
120,01/03/2021,270
121,12/18/2024,270
122,05/31/2020,269
123,06/14/2020,269
124,06/15/2020,269
125,07/19/2020,269
126,03/21/2020,268
127,06/17/2020,268
128,01/25/2021,268
129,03/31/2024,268
130,04/14/2020,267
131,08/30/2020,267
132,05/01/2020,266
133,05/30/2020,266
134,06/27/2020,266
135,11/25/2022,266
136,05/07/2020,265
137,01/30/2021,265
138,09/27/2020,264
139,04/05/2026,264
140,12/15/2024,263
141,10/11/2020,262
142,10/18/2020,262
143,11/01/2020,262
144,04/03/2021,262
145,06/06/2020,260
146,07/25/2020,260
147,08/02/2020,260
148,11/26/2021,259
149,12/25/2019,258
150,01/16/2021,258
151,12/19/2021,258
152,12/17/2022,258
153,05/06/2020,257
154,09/20/2020,257
155,10/31/2021,257
156,12/22/2023,257
