,title,challenge level,challenge level numeric
0, vegan fruit tarts,Needs skill,2
1, steamed syrup puddings with custard,Needs skill,2
2, tarte tatin,Needs skill,2
3, matcha and yuzu sandwich biscuits,Easy,1
4, strawberries and clotted cream danish,Challenging,3
5, queen of puddings,Needs skill,2
6, sweet nachos,Needs skill,2
7, sweet sushi,Challenging,3
8, dubai millionaire shortbread,Easy,1
9, cheese and onion pasty pops,Needs skill,2
10, bronuts,Needs skill,2
11, pumpkin spiced breads,Needs skill,2
12, giant gooey cookie and ice cream,Easy,1
13, lamb-ingtons,Needs skill,2
14, mango and passionfruit éclairs,Needs skill,2
15, meringue shells,Needs skill,2
16, pizza pocket rockets,Easy,1
17, baseball cap piñata biscuits,Needs skill,2
18, victoria sandwich sandwich,Easy,1
19, chocolate & praline entremets,Challenging,3
20, peep show turkey pies,Needs skill,2
21, hogmanay shortbread,Easy,1
22, mini meringue christmas trees,Needs skill,2
23, white chocolate & lemon madeleine tower,Needs skill,2
24, framboisier,Challenging,3
25, gluten free orange & cardamom puddings,Needs skill,2
26, raspberry soufflé,Needs skill,2
27, gala pie,Needs skill,2
28, white chocolate tart,Needs skill,2
29, school cake and custard,Easy,1
30, glazed doughnuts,Needs skill,2
31, chocolate caramel hobnobs,Needs skill,2
32, raspberry & almond fondant fancies,Needs skill,2
33, passion fruit & raspberry cheesecakes,Easy,1
34, vanilla & lemon lambeth style cake,Needs skill,2
35, tear ‘n’ share cheese & chilli buns,Needs skill,2
36, raspberry ripple layered flapjack,Easy,1
37, chocolate finger biscuits,Easy,1
38, piggy sausage roll wreath,Challenging,3
39, “i love prue” tiramisu,Needs skill,2
40, tasty tennis balls,Challenging,3
41, avo lime pie,Needs skill,2
42, éclair-inets,Challenging,3
43, îles flottante floating swan lake,Needs skill,2
44, vampire teeth iced buns,Needs skill,2
45, squashed fly biscuits,Easy,1
46, banana milkshake sponge,Challenging,3
47, horse choux pastry,Challenging,3
48, skull and cross scones,Easy,1
49, chocolate chick biscuits,Easy,1
50, strawberry tarts,Needs skill,2
51, egg & cress rolls,Needs skill,2
52, lemon sandwich cakes,Needs skill,2
